Time category, elapsed time
real,	1.476
real,	1.416
real,	1.754
real,	1.531
real,	1.647
real,	2.007
real,	1.648
real,	1.543
real,	1.645
real,	1.561
real,	1.455
real,	1.680
real,	2.374
real,	1.607
real,	1.771
real,	1.507
real,	1.533
real,	1.674
real,	1.379
real,	1.418
real,	1.674
real,	1.547
real,	1.464
real,	1.683
real,	1.533
real,	1.597
real,	1.862
real,	1.472
real,	1.415
real,	1.595
